record_id,test_date,plant_name,vehicle_model,supplier_id,supplier_name,supplier_batch_id,part_name,part_category,market_price_inr,open_market_price_range_inr,qty_inspected,qty_defective,ppm,otd_pct,audit_score_pct,cpk,belt_tension_dev_ratio,slip_ratio,crack_density_per_100mm,pressure_retention_ratio,hose_leak_rate_ml_min,engine_temp_dev_ratio,filter_pressure_drop_pa_ratio,filtration_efficiency,fuel_penalty_ratio,brake_leak_rate_cc_min,pushrod_stroke_excess_ratio,brake_response_lag_s_ratio,relay_brake_lag_s_ratio,relay_pressure_delivery_ratio,relay_leak_rate_cc_min,pulse_integrity_ratio,speed_deviation_ratio,dropout_count_ratio,bearing_temp_rise_c_ratio,bearing_vibration_rms_ratio,bearing_play_mm_ratio,ujoint_vibration_rms_ratio,ujoint_backlash_mm_ratio,ujoint_temp_rise_c_ratio,downstream_water_ppm_ratio,separator_dp_kpa_ratio,service_compliance_ratio,data_source_type,impact_raw,criticality_weight_0_1,min_required_sqm_0_1,importance_band,part_quality_score_recomputed_0_1,supplier_quality_score_recomputed_0_1,sqm_gap_to_target_0_1,part_gap_to_target_0_1,weighted_loss_priority_0_1,sqm_status,action_priority,risk_label_current_scenario,dataset_note_current_scenario
11,06-04-2025,Jamshedpur Plant,School Bus 1017,SUP-GAMMA,Gamma Motion Parts,SUP-GAMMA-V-B-8554,V-Belt / Alternator Belt,Mechanical,343.71,100-450,272,1,3558,90.28,88.88,1.294,0.0356,0.0143,1.63,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.83,0.84,-0.06,-0.07,0.08,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
12,23-04-2025,Chennai Plant,School Bus 1017,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-6249,V-Belt / Alternator Belt,Mechanical,183.85,100-450,41,0,1635,94.96,94.78,1.407,0.0342,0.0132,2.29,,,,,,,,,,,,,,,,,,,,,,,,,Warranty Record,8.5,0.9,0.9,High,0.83,0.9,0,-0.07,0.01,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
13,03-07-2025,Pune Plant,Rigid Truck 2818,SUP-GAMMA,Gamma Motion Parts,SUP-GAMMA-V-B-7287,V-Belt / Alternator Belt,Mechanical,239.59,100-450,162,1,3997,95.73,83.64,1.39,0.066,0.0183,2.46,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.74,0.82,-0.08,-0.16,0.07,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
14,15-12-2025,Bangalore Plant,Rigid Truck 2818,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-3911,V-Belt / Alternator Belt,Mechanical,179.27,100-450,298,1,3514,100,95.17,1.458,0.0137,0.0113,1.2,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,0.9,0.89,-0.01,0,0.02,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
15,24-09-2025,Jamshedpur Plant,Tipper 3523,SUP-BETA,Beta Truck Systems,SUP-BETA-V-B-3049,V-Belt / Alternator Belt,Mechanical,443.76,100-450,190,0,860,100,99.77,1.473,0.0149,0.0061,0.74,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.93,0.96,0.06,0.03,0.05,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
16,09-06-2025,Pune Plant,Tipper 3523,SUP-DELTA,Delta Fleet Components,SUP-DELTA-V-B-2648,V-Belt / Alternator Belt,Mechanical,241.58,100-450,48,0,3704,89.37,92.16,1.443,0.0257,0.0192,2.51,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.81,0.84,-0.06,-0.09,0.06,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
17,06-11-2025,Bangalore Plant,Rigid Truck 2818,SUP-GAMMA,Gamma Motion Parts,SUP-GAMMA-V-B-4987,V-Belt / Alternator Belt,Mechanical,213.89,100-450,202,0,1209,88.48,95.04,1.305,0.0329,0.0182,2.88,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,0.79,0.89,-0.01,-0.11,0.02,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
18,08-05-2025,Pune Plant,Bus Chassis 1624,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-V-B-4436,V-Belt / Alternator Belt,Mechanical,306.45,100-450,72,0,3176,100,84.04,1.525,0.0329,0.0183,2.05,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,0.81,0.86,-0.04,-0.09,0.06,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
19,02-01-2026,Bangalore Plant,School Bus 1017,SUP-DELTA,Delta Fleet Components,SUP-DELTA-V-B-2060,V-Belt / Alternator Belt,Mechanical,409.22,100-450,186,0,0,100,100,1.362,0.0066,0.0019,0.46,,,,,,,,,,,,,,,,,,,,,,,,,Warranty Record,8.5,0.9,0.9,High,0.97,0.99,0.09,0.07,0.04,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
20,09-04-2025,Chennai Plant,Bus Chassis 1624,SUP-BETA,Beta Truck Systems,SUP-BETA-V-B-9319,V-Belt / Alternator Belt,Mechanical,210.92,100-450,227,0,2028,98.53,97.7,1.387,0.0318,0.0133,3.02,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.82,0.91,0.01,-0.08,0.02,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
21,31-05-2025,Jamshedpur Plant,Tipper 3523,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-8343,V-Belt / Alternator Belt,Mechanical,345.87,100-450,166,0,0,100,98.05,1.66,0.0097,0.0032,0.57,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.95,0.99,0.09,0.05,0.04,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
22,02-11-2025,Bangalore Plant,Bus Chassis 1624,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-7002,V-Belt / Alternator Belt,Mechanical,117.77,100-450,52,0,0,100,98.47,1.507,0.0019,0.0008,0.09,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,0.99,1,0.1,0.09,0,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
23,02-06-2025,Jamshedpur Plant,Cargo 1916,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-V-B-4854,V-Belt / Alternator Belt,Mechanical,113.07,100-450,225,1,3200,84.59,91.8,1.343,0.038,0.0122,2.85,,,,,,,,,,,,,,,,,,,,,,,,,Warranty Record,8.5,0.9,0.9,High,0.81,0.84,-0.06,-0.09,0.04,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
24,22-02-2025,Pune Plant,Bus Chassis 1624,SUP-BETA,Beta Truck Systems,SUP-BETA-V-B-8987,V-Belt / Alternator Belt,Mechanical,323.1,100-450,99,0,2843,89.1,100,1.676,0.0213,0.0172,2.34,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.83,0.88,-0.02,-0.07,0.05,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
25,02-10-2025,Jamshedpur Plant,School Bus 1017,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-V-B-1512,V-Belt / Alternator Belt,Mechanical,120.37,100-450,131,0,2065,90.19,96.21,1.637,0.0348,0.0118,1.52,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.85,0.89,-0.01,-0.05,0.01,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
26,30-03-2025,Pune Plant,Bus Chassis 1624,SUP-DELTA,Delta Fleet Components,SUP-DELTA-V-B-2679,V-Belt / Alternator Belt,Mechanical,186.71,100-450,276,1,3185,100,82.93,1.639,0.0275,0.0106,2.11,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.85,0.87,-0.03,-0.05,0.03,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
27,10-04-2025,Chennai Plant,Rigid Truck 2818,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-V-B-8390,V-Belt / Alternator Belt,Mechanical,115.86,100-450,293,1,3240,84.77,83.8,1.617,0.0214,0.0194,2.27,,,,,,,,,,,,,,,,,,,,,,,,,Warranty Record,8.5,0.9,0.9,High,0.83,0.83,-0.07,-0.07,0.05,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
28,21-11-2025,Pune Plant,Cargo 1916,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-3427,V-Belt / Alternator Belt,Mechanical,337.01,100-450,43,0,681,100,100,1.664,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,1,0.99,0.09,0.1,0.03,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
29,17-06-2025,Jamshedpur Plant,Cargo 1916,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-V-B-1417,V-Belt / Alternator Belt,Mechanical,395.71,100-450,82,0,2531,97.25,89.61,1.442,0.0223,0.0113,2.1,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.86,0.89,-0.01,-0.04,0.05,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
30,24-04-2025,Bangalore Plant,School Bus 1017,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-V-B-3504,V-Belt / Alternator Belt,Mechanical,162.1,100-450,114,1,4386,94.67,83.05,1.442,0.0573,0.0238,4.29,,,,,,,,,,,,,,,,,,,,,,,,,Warranty Record,8.5,0.9,0.9,High,0.69,0.8,-0.1,-0.21,0.08,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
31,06-04-2025,Bangalore Plant,Tipper 3523,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-3914,V-Belt / Alternator Belt,Mechanical,358.97,100-450,191,0,1224,96.98,100,1.566,0.0178,0.0142,1.7,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.87,0.94,0.04,-0.03,0.04,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
32,03-01-2026,Jamshedpur Plant,Bus Chassis 1624,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-5946,V-Belt / Alternator Belt,Mechanical,432.71,100-450,256,1,3591,92.67,92.7,1.399,0.0379,0.0103,1.59,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.85,0.86,-0.04,-0.05,0.07,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
33,14-04-2026,Bangalore Plant,School Bus 1017,SUP-DELTA,Delta Fleet Components,SUP-DELTA-V-B-5729,V-Belt / Alternator Belt,Mechanical,120.15,100-450,92,0,3143,100,100,1.56,0.0075,0.0043,0.45,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.96,0.92,0.02,0.06,0,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
34,26-05-2025,Bangalore Plant,School Bus 1017,SUP-BETA,Beta Truck Systems,SUP-BETA-V-B-2191,V-Belt / Alternator Belt,Mechanical,129.44,100-450,278,1,3852,90.19,83.88,1.405,0.0306,0.0241,3.57,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.76,0.82,-0.08,-0.14,0.06,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
35,23-11-2025,Pune Plant,Tipper 3523,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-V-B-5186,V-Belt / Alternator Belt,Mechanical,232.3,100-450,256,0,1401,87.17,99.83,1.449,0.0218,0.0096,1.67,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,0.88,0.91,0.01,-0.02,0.02,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
36,22-06-2025,Bangalore Plant,Cargo 1916,SUP-BETA,Beta Truck Systems,SUP-BETA-V-B-4072,V-Belt / Alternator Belt,Mechanical,387.98,100-450,180,0,1779,90.33,100,1.689,0.0007,0.0002,0.04,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,1,0.94,0.04,0.1,0.04,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
37,21-02-2026,Bangalore Plant,Tipper 3523,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-2256,V-Belt / Alternator Belt,Mechanical,283.08,100-450,156,0,2402,95.23,97.71,1.493,0.0262,0.0116,3.19,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.83,0.89,-0.01,-0.07,0.03,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
38,23-02-2025,Pune Plant,School Bus 1017,SUP-BETA,Beta Truck Systems,SUP-BETA-V-B-4719,V-Belt / Alternator Belt,Mechanical,165.84,100-450,298,1,2081,100,83.9,1.546,0.0269,0.0134,1.25,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.86,0.9,0,-0.04,0.01,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
39,21-02-2026,Jamshedpur Plant,Rigid Truck 2818,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-1009,V-Belt / Alternator Belt,Mechanical,303.41,100-450,251,1,3281,90.28,100,1.517,0.019,0.0076,0.55,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.92,0.89,-0.01,0.02,0.04,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
40,29-04-2025,Pune Plant,Cargo 1916,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-V-B-7970,V-Belt / Alternator Belt,Mechanical,237.55,100-450,104,0,2990,94.55,99.63,1.347,0.0451,0.0187,2.26,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,0.78,0.87,-0.03,-0.12,0.04,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
41,11-05-2026,Bangalore Plant,School Bus 1017,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-V-B-4636,V-Belt / Alternator Belt,Mechanical,304.8,100-450,45,0,4554,90.73,93.89,1.287,0.0979,0.0385,3.68,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,0.56,0.76,-0.14,-0.34,0.12,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
42,19-03-2025,Pune Plant,School Bus 1017,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-V-B-4419,V-Belt / Alternator Belt,Mechanical,316.34,100-450,40,0,3272,96.06,93.84,1.257,0.0352,0.0108,2.81,,,,,,,,,,,,,,,,,,,,,,,,,Warranty Record,8.5,0.9,0.9,High,0.82,0.86,-0.04,-0.08,0.06,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
43,02-11-2025,Bangalore Plant,Cargo 1916,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-V-B-5673,V-Belt / Alternator Belt,Mechanical,374.63,100-450,93,0,879,100,100,1.221,0.0169,0.0075,0.98,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,0.91,0.95,0.05,0.01,0.04,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
44,14-08-2025,Jamshedpur Plant,School Bus 1017,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-V-B-8648,V-Belt / Alternator Belt,Mechanical,291.61,100-450,137,1,4294,100,90.49,1.325,0.0556,0.0171,3.3,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.75,0.83,-0.07,-0.15,0.07,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
45,17-04-2026,Pune Plant,Bus Chassis 1624,SUP-DELTA,Delta Fleet Components,SUP-DELTA-V-B-2906,V-Belt / Alternator Belt,Mechanical,184.05,100-450,108,0,3897,91.71,89.21,1.47,0.0561,0.0217,3.84,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.71,0.81,-0.09,-0.19,0.07,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
46,04-04-2026,Chennai Plant,School Bus 1017,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-1671,V-Belt / Alternator Belt,Mechanical,280.33,100-450,47,0,3841,88.84,95.42,1.36,0.0323,0.0134,1.69,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.84,0.85,-0.05,-0.06,0.06,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
47,13-11-2025,Pune Plant,Rigid Truck 2818,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-V-B-8240,V-Belt / Alternator Belt,Mechanical,341.64,100-450,61,0,3044,84.5,85.53,1.34,0.0373,0.0223,4.2,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,0.74,0.82,-0.08,-0.16,0.09,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
48,25-02-2025,Pune Plant,Rigid Truck 2818,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-1638,V-Belt / Alternator Belt,Mechanical,173.27,100-450,146,1,5200,88.19,81.65,1.391,0.0767,0.0185,4.63,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.67,0.76,-0.14,-0.23,0.11,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
49,03-06-2025,Chennai Plant,School Bus 1017,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-9152,V-Belt / Alternator Belt,Mechanical,239.01,100-450,53,0,302,100,100,1.557,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,1,0.99,0.09,0.1,0.02,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
