claim_id,dealer_id,supplier_id,part_name,failure_type,claim_amount,repair_cost,claim_frequency,days_since_last_claim,failure_severity,fraud_label
CLM00079,1427,SUP-080,U-Joint,Leak,14169,14450,15,326,2,0
CLM00080,1508,SUP-031,Radiator Hose,Sensor Failure,25539,24493,17,167,1,0
CLM00081,1775,SUP-053,Fuel/Water Separator,Corrosion,40837,19493,2,326,2,0
CLM00082,1942,SUP-025,Fuel/Water Separator,Misalignment,22722,12985,4,110,4,0
CLM00083,1034,SUP-044,Brake Chamber,Wear,19916,4100,14,20,6,0
CLM00084,1205,SUP-012,Wheel Speed Sensor,Leak,39105,18849,11,230,8,0
CLM00085,1080,SUP-090,Wheel Speed Sensor,Breakage,4773,13855,12,269,9,0
CLM00086,1931,SUP-097,Relay Valve,Misalignment,49194,13996,16,305,7,1
CLM00087,1561,SUP-092,Brake Chamber,Wear,30945,7032,12,76,4,0
CLM00088,1871,SUP-009,V-Belt,Sensor Failure,22045,13338,2,265,7,0
CLM00089,1387,SUP-012,Air Filter,Misalignment,3057,4078,7,315,1,0
CLM00090,1001,SUP-069,Radiator Hose,Corrosion,18061,6061,3,116,6,0
CLM00091,1389,SUP-054,Air Filter,Sensor Failure,14138,3043,3,3,1,0
CLM00092,1565,SUP-054,V-Belt,Sensor Failure,36742,17388,13,11,8,0
CLM00093,1105,SUP-028,U-Joint,Misalignment,25860,25212,7,261,4,0
CLM00094,1771,SUP-056,Brake Chamber,Breakage,16903,21968,5,152,8,0
CLM00095,1821,SUP-099,Air Filter,Breakage,30042,9994,5,198,8,0
CLM00096,1476,SUP-069,Brake Chamber,Misalignment,40212,20898,6,82,2,0
CLM00097,1702,SUP-098,Brake Chamber,Misalignment,19224,6807,13,125,6,0
CLM00098,1401,SUP-098,Fuel/Water Separator,Misalignment,2878,4114,7,230,4,0
CLM00099,1729,SUP-077,Wheel Bearing,Corrosion,40057,13639,2,134,3,0
CLM00100,1555,SUP-058,Relay Valve,Leak,10802,5642,9,86,9,0
CLM00101,1161,SUP-078,Wheel Speed Sensor,Sensor Failure,29538,22955,19,298,9,0
CLM00102,1201,SUP-075,Brake Chamber,Misalignment,49763,5306,2,43,2,0
CLM00103,1957,SUP-042,Air Filter,Leak,24603,17390,13,204,5,0
CLM00104,1995,SUP-038,Air Filter,Corrosion,49531,29857,8,281,7,0
CLM00105,1269,SUP-068,Radiator Hose,Sensor Failure,16037,26609,16,18,9,0
CLM00106,1862,SUP-053,Brake Chamber,Leak,12690,12333,1,191,8,0
CLM00107,1815,SUP-033,Wheel Bearing,Sensor Failure,11323,20887,11,223,4,0
CLM00108,1270,SUP-071,Relay Valve,Breakage,4314,25783,8,362,3,0
CLM00109,1455,SUP-056,Relay Valve,Misalignment,47185,26699,1,257,1,0
CLM00110,1461,SUP-072,U-Joint,Breakage,35146,8111,7,15,1,0
CLM00111,1726,SUP-051,U-Joint,Wear,15356,29313,9,182,9,0
CLM00112,1251,SUP-074,Radiator Hose,Corrosion,12269,27404,2,34,4,0
CLM00113,1701,SUP-043,Wheel Speed Sensor,Misalignment,44974,11706,19,180,8,1
CLM00114,1295,SUP-015,U-Joint,Leak,6340,2207,6,2,4,0
CLM00115,1724,SUP-038,V-Belt,Sensor Failure,45852,8993,5,151,6,0
CLM00116,1719,SUP-015,Radiator Hose,Wear,43675,19328,13,110,4,0
CLM00117,1748,SUP-005,Relay Valve,Corrosion,34220,9009,10,307,2,0
CLM00118,1337,SUP-093,Relay Valve,Corrosion,42301,22790,1,302,1,0
CLM00119,1878,SUP-083,Wheel Bearing,Corrosion,1392,19839,18,353,8,0
CLM00120,1052,SUP-054,V-Belt,Leak,6471,19811,14,106,6,0
CLM00121,1791,SUP-051,Wheel Speed Sensor,Misalignment,9137,17741,12,255,1,0
CLM00122,1921,SUP-010,Air Filter,Breakage,14997,15907,6,14,5,0
CLM00123,1216,SUP-012,Radiator Hose,Wear,20434,3220,14,273,3,0
CLM00124,1763,SUP-004,U-Joint,Leak,42930,3522,17,144,2,1
CLM00125,1187,SUP-095,Fuel/Water Separator,Sensor Failure,31278,9368,7,207,3,0
CLM00126,1379,SUP-018,Wheel Bearing,Leak,11397,16249,3,107,2,0
CLM00127,1492,SUP-080,Relay Valve,Sensor Failure,32530,17262,17,247,2,1
CLM00128,1040,SUP-036,Fuel/Water Separator,Sensor Failure,49364,25292,10,223,1,0
CLM00129,1156,SUP-025,Radiator Hose,Corrosion,5794,12392,3,268,3,0
CLM00130,1014,SUP-087,Brake Chamber,Leak,24794,27972,16,225,3,0
CLM00131,1812,SUP-076,Wheel Speed Sensor,Breakage,17549,22942,6,75,4,0
CLM00132,1064,SUP-098,Brake Chamber,Sensor Failure,42214,24302,4,43,3,0
CLM00133,1856,SUP-036,Radiator Hose,Corrosion,42261,21847,9,133,8,0
CLM00134,1838,SUP-067,Brake Chamber,Breakage,7363,13221,7,283,4,0
CLM00135,1520,SUP-009,Wheel Speed Sensor,Leak,45063,5351,16,56,1,1
CLM00136,1343,SUP-061,Radiator Hose,Breakage,9079,3489,6,208,2,0
CLM00137,1128,SUP-053,Fuel/Water Separator,Leak,13032,4330,12,227,7,0
CLM00138,1647,SUP-018,Brake Chamber,Sensor Failure,44516,28732,3,104,6,0
CLM00139,1471,SUP-043,Wheel Speed Sensor,Wear,2505,5903,12,336,9,0
CLM00140,1062,SUP-035,U-Joint,Wear,10448,26582,14,68,6,0
CLM00141,1138,SUP-063,Air Filter,Misalignment,14240,7350,14,250,2,0
CLM00142,1498,SUP-098,Wheel Speed Sensor,Misalignment,41177,26366,9,91,8,0
CLM00143,1592,SUP-078,Wheel Bearing,Sensor Failure,31739,2439,4,271,9,0
CLM00144,1391,SUP-004,Air Filter,Breakage,33977,21578,15,26,5,0
CLM00145,1674,SUP-093,U-Joint,Leak,21177,24209,7,207,6,0
CLM00146,1418,SUP-041,V-Belt,Wear,20431,8215,19,252,4,0
CLM00147,1288,SUP-045,Fuel/Water Separator,Leak,3119,8927,6,10,2,0
CLM00148,1378,SUP-050,Relay Valve,Sensor Failure,1177,10475,19,98,5,0
CLM00149,1772,SUP-079,U-Joint,Breakage,35314,24511,7,102,5,0
CLM00150,1489,SUP-028,Air Filter,Leak,47954,4695,1,136,1,0
CLM00151,1230,SUP-042,Air Filter,Breakage,11226,3286,7,336,5,0
CLM00152,1040,SUP-080,Wheel Bearing,Wear,25874,14954,3,221,1,0
CLM00153,1027,SUP-076,V-Belt,Leak,31985,1877,6,32,3,0
CLM00154,1134,SUP-069,Relay Valve,Corrosion,28143,3255,6,277,9,0
CLM00155,1200,SUP-098,Wheel Bearing,Wear,13231,18967,11,96,4,0
CLM00156,1839,SUP-001,U-Joint,Breakage,15016,4909,2,301,9,0
CLM00157,1779,SUP-039,Air Filter,Sensor Failure,15134,12787,6,268,6,0
CLM00158,1929,SUP-096,U-Joint,Corrosion,15082,16399,18,176,1,0
CLM00159,1032,SUP-090,Wheel Speed Sensor,Misalignment,8775,13338,14,103,3,0
CLM00160,1047,SUP-017,V-Belt,Leak,17175,7070,12,187,3,0
CLM00161,1502,SUP-091,Fuel/Water Separator,Misalignment,15133,5112,9,330,4,0
CLM00162,1406,SUP-088,Wheel Speed Sensor,Wear,43383,22991,13,326,4,0
CLM00163,1573,SUP-035,V-Belt,Leak,23427,27776,1,37,8,0
CLM00164,1727,SUP-046,V-Belt,Leak,15837,16599,8,210,3,0
CLM00165,1804,SUP-042,U-Joint,Corrosion,11546,4604,9,255,4,0
CLM00166,1098,SUP-039,Wheel Speed Sensor,Corrosion,25992,20433,17,131,3,0
CLM00167,1683,SUP-090,U-Joint,Corrosion,11748,21036,13,325,7,0
CLM00168,1871,SUP-049,U-Joint,Corrosion,26496,11022,4,98,6,0
CLM00169,1725,SUP-062,U-Joint,Sensor Failure,2553,16304,6,33,1,0
CLM00170,1986,SUP-038,Air Filter,Breakage,26241,29632,13,36,1,0
CLM00171,1546,SUP-023,Air Filter,Corrosion,3469,8157,17,237,6,0
CLM00172,1960,SUP-022,Relay Valve,Wear,2474,5978,19,3,3,0
CLM00173,1738,SUP-004,Fuel/Water Separator,Leak,49554,28837,8,131,9,0
CLM00174,1612,SUP-049,Wheel Bearing,Misalignment,32109,27087,17,220,2,1
CLM00175,1942,SUP-059,Fuel/Water Separator,Corrosion,23861,19525,17,362,3,0
CLM00176,1461,SUP-073,Brake Chamber,Wear,47527,5525,15,182,9,0
CLM00177,1642,SUP-068,Wheel Bearing,Sensor Failure,34105,8264,1,28,6,0
CLM00178,1768,SUP-071,Relay Valve,Wear,40759,2612,2,26,1,0
CLM00179,1004,SUP-087,Radiator Hose,Misalignment,45119,4000,10,157,2,0
CLM00180,1217,SUP-002,Wheel Bearing,Misalignment,34855,6487,16,10,7,1
CLM00181,1502,SUP-049,V-Belt,Wear,35061,8124,4,109,6,0
CLM00182,1766,SUP-088,Radiator Hose,Sensor Failure,42616,29307,8,318,1,0
CLM00183,1397,SUP-095,Fuel/Water Separator,Misalignment,31072,29933,16,96,2,1
CLM00184,1870,SUP-031,Radiator Hose,Sensor Failure,6964,9701,7,146,6,0
CLM00185,1794,SUP-040,Fuel/Water Separator,Leak,36596,18513,5,181,6,0
CLM00186,1392,SUP-048,Wheel Speed Sensor,Corrosion,7472,11811,8,210,6,0
CLM00187,1206,SUP-051,Brake Chamber,Misalignment,21357,15447,3,342,9,0
CLM00188,1014,SUP-043,Relay Valve,Wear,24045,9541,3,145,2,0
CLM00189,1857,SUP-098,Relay Valve,Breakage,7564,24245,18,49,9,0
CLM00190,1553,SUP-055,V-Belt,Breakage,2336,6760,4,154,9,0
CLM00191,1891,SUP-088,Brake Chamber,Leak,44316,23806,4,261,9,0
CLM00192,1460,SUP-049,Brake Chamber,Breakage,48917,11559,15,329,9,0
CLM00193,1690,SUP-090,V-Belt,Leak,16181,24050,15,44,3,0
CLM00194,1574,SUP-080,Fuel/Water Separator,Corrosion,35435,27115,4,236,9,0
CLM00195,1863,SUP-057,V-Belt,Leak,29606,11927,2,121,9,0
CLM00196,1742,SUP-077,Fuel/Water Separator,Sensor Failure,2212,978,3,248,3,0
CLM00197,1240,SUP-015,V-Belt,Sensor Failure,3768,1810,10,7,4,0
CLM00198,1563,SUP-027,Wheel Bearing,Sensor Failure,30737,13323,1,20,4,0
CLM00199,1095,SUP-068,Wheel Bearing,Misalignment,46375,19027,18,184,4,1
CLM00200,1899,SUP-080,Wheel Speed Sensor,Sensor Failure,28634,913,5,364,7,0
CLM00201,1733,SUP-064,Air Filter,Sensor Failure,10589,26732,9,200,5,0
CLM00202,1484,SUP-094,V-Belt,Sensor Failure,27794,27707,6,254,7,0
CLM00203,1406,SUP-030,Brake Chamber,Sensor Failure,37444,4436,19,245,6,1
CLM00204,1230,SUP-036,Wheel Bearing,Misalignment,19694,25071,9,64,7,0
CLM00205,1748,SUP-067,U-Joint,Sensor Failure,8085,18278,18,299,8,0
CLM00206,1654,SUP-086,Fuel/Water Separator,Sensor Failure,19211,19507,15,300,6,0
CLM00207,1170,SUP-086,Wheel Bearing,Corrosion,23669,19174,15,153,9,0
CLM00208,1540,SUP-049,Wheel Bearing,Misalignment,20603,17522,14,17,4,0
CLM00209,1035,SUP-076,Fuel/Water Separator,Sensor Failure,24155,12136,3,39,5,0
CLM00210,1524,SUP-055,Relay Valve,Leak,38456,14874,8,153,9,0
CLM00211,1159,SUP-085,Radiator Hose,Corrosion,5511,17236,19,355,9,0
CLM00212,1838,SUP-056,Fuel/Water Separator,Misalignment,19456,29597,11,295,2,0
CLM00213,1698,SUP-068,Wheel Speed Sensor,Breakage,24154,11840,4,39,2,0
CLM00214,1242,SUP-095,Fuel/Water Separator,Wear,29765,15817,15,187,9,0
CLM00215,1085,SUP-044,Fuel/Water Separator,Misalignment,48408,29681,10,238,6,0
CLM00216,1795,SUP-031,Air Filter,Corrosion,19714,12280,11,272,8,0
CLM00217,1577,SUP-058,Fuel/Water Separator,Sensor Failure,47234,17023,9,309,8,0
CLM00218,1681,SUP-087,Radiator Hose,Corrosion,34453,8943,17,362,8,1
CLM00219,1556,SUP-053,Radiator Hose,Wear,34452,9360,9,157,5,0
CLM00220,1573,SUP-084,U-Joint,Wear,48769,20726,9,231,4,0
CLM00221,1952,SUP-079,Relay Valve,Misalignment,28513,25392,9,194,3,0
CLM00222,1645,SUP-023,Fuel/Water Separator,Sensor Failure,32535,20902,2,250,4,0
CLM00223,1795,SUP-028,Air Filter,Sensor Failure,29287,19810,13,266,8,0
CLM00224,1027,SUP-016,Air Filter,Leak,9532,23776,1,2,4,0
CLM00225,1619,SUP-037,Brake Chamber,Wear,13891,7742,6,141,8,0
CLM00226,1555,SUP-021,Relay Valve,Sensor Failure,34501,27085,6,182,8,0
CLM00227,1339,SUP-079,Air Filter,Wear,2496,28021,16,2,1,0
CLM00228,1797,SUP-017,Radiator Hose,Leak,16154,1552,12,170,9,0
CLM00229,1957,SUP-037,Brake Chamber,Breakage,12146,15900,15,270,3,0
CLM00230,1330,SUP-077,V-Belt,Wear,6450,29712,7,307,6,0
CLM00231,1639,SUP-019,Air Filter,Leak,38403,20447,2,364,3,0
CLM00232,1505,SUP-030,Wheel Speed Sensor,Leak,19116,26199,12,49,9,0
CLM00233,1347,SUP-045,Air Filter,Leak,44995,1843,2,285,1,0
CLM00234,1472,SUP-018,Wheel Bearing,Corrosion,47791,17453,4,320,7,0
CLM00235,1230,SUP-078,Relay Valve,Misalignment,28289,29894,3,279,5,0
CLM00236,1189,SUP-062,Wheel Bearing,Sensor Failure,24109,28797,2,279,3,0
CLM00237,1224,SUP-036,U-Joint,Wear,40071,24574,18,272,7,1
CLM00238,1384,SUP-100,Air Filter,Misalignment,44439,16762,3,44,1,0
CLM00239,1376,SUP-084,V-Belt,Corrosion,25415,4416,10,60,6,0
CLM00240,1282,SUP-052,Wheel Bearing,Wear,18803,9692,12,199,7,0
CLM00241,1957,SUP-019,Wheel Bearing,Misalignment,11181,3423,4,109,9,0
CLM00242,1632,SUP-044,Relay Valve,Corrosion,33716,10928,7,65,9,0
CLM00243,1627,SUP-007,Brake Chamber,Sensor Failure,5710,5045,19,173,7,0
CLM00244,1972,SUP-044,V-Belt,Leak,42447,14929,8,353,5,0
CLM00245,1744,SUP-068,Wheel Bearing,Misalignment,29395,4425,3,98,7,0
CLM00246,1258,SUP-034,Fuel/Water Separator,Misalignment,14500,20136,15,129,1,0
CLM00247,1358,SUP-066,V-Belt,Wear,35209,28468,8,268,7,0
CLM00248,1709,SUP-069,Fuel/Water Separator,Leak,36158,27406,18,87,4,1
CLM00249,1455,SUP-055,Air Filter,Sensor Failure,2384,24442,14,89,2,0
CLM00250,1410,SUP-010,Wheel Bearing,Wear,19540,3892,19,344,6,0
CLM00251,1648,SUP-096,Wheel Bearing,Breakage,46904,19501,4,229,7,0
CLM00252,1317,SUP-042,Radiator Hose,Breakage,5396,29196,3,130,7,0
CLM00253,1676,SUP-041,Radiator Hose,Breakage,2391,22819,9,132,8,0
CLM00254,1224,SUP-077,Relay Valve,Sensor Failure,17652,4855,10,253,5,0
CLM00255,1818,SUP-069,Brake Chamber,Breakage,21301,18897,8,110,8,0
CLM00256,1233,SUP-010,Relay Valve,Misalignment,10716,18811,2,297,4,0
CLM00257,1683,SUP-010,Relay Valve,Wear,16568,27620,1,294,1,0
CLM00258,1663,SUP-091,Wheel Bearing,Misalignment,9669,5832,4,215,8,0
CLM00259,1974,SUP-060,Radiator Hose,Breakage,5271,23142,16,312,4,0
CLM00260,1826,SUP-051,Radiator Hose,Wear,16228,5047,5,204,5,0
CLM00261,1373,SUP-021,Radiator Hose,Misalignment,15256,29871,18,24,4,0
CLM00262,1671,SUP-008,V-Belt,Sensor Failure,26185,7415,14,93,7,0
CLM00263,1607,SUP-065,Wheel Speed Sensor,Leak,24386,20603,13,169,3,0
CLM00264,1471,SUP-092,Wheel Bearing,Misalignment,25152,16349,16,28,2,0
CLM00265,1232,SUP-078,Air Filter,Corrosion,23267,12365,15,318,2,0
CLM00266,1691,SUP-085,Relay Valve,Breakage,13779,10243,19,190,7,0
CLM00267,1112,SUP-030,Radiator Hose,Corrosion,15434,2182,4,266,6,0
CLM00268,1829,SUP-085,Radiator Hose,Leak,30000,17268,19,285,2,0
CLM00269,1496,SUP-049,Radiator Hose,Sensor Failure,28973,21592,13,63,8,0
CLM00270,1441,SUP-009,Wheel Bearing,Misalignment,46500,14229,11,87,6,0
CLM00271,1563,SUP-017,Radiator Hose,Sensor Failure,38861,3536,18,7,8,1
CLM00272,1267,SUP-069,Brake Chamber,Leak,7438,10958,11,155,6,0
CLM00273,1509,SUP-058,Relay Valve,Corrosion,13729,23907,1,20,4,0
CLM00274,1806,SUP-057,Wheel Bearing,Misalignment,30466,5152,15,252,8,0
CLM00275,1385,SUP-062,Relay Valve,Breakage,27407,4945,10,348,4,0
CLM00276,1386,SUP-095,Fuel/Water Separator,Wear,30562,17273,4,50,6,0
CLM00277,1112,SUP-052,U-Joint,Sensor Failure,23558,15639,6,189,5,0
CLM00278,1612,SUP-061,Brake Chamber,Leak,26730,19802,2,67,4,0
CLM00279,1624,SUP-040,V-Belt,Misalignment,43711,18997,17,202,7,1
CLM00280,1951,SUP-038,V-Belt,Corrosion,28061,1642,12,99,8,0
CLM00281,1080,SUP-043,Wheel Speed Sensor,Breakage,22829,17629,5,149,6,0
CLM00282,1698,SUP-063,Brake Chamber,Corrosion,36101,23035,19,160,1,1
CLM00283,1112,SUP-019,Relay Valve,Breakage,38154,2230,6,304,7,0
CLM00284,1001,SUP-100,V-Belt,Misalignment,13655,29198,17,166,4,0
CLM00285,1641,SUP-050,U-Joint,Wear,21965,21269,19,28,2,0
CLM00286,1219,SUP-033,V-Belt,Wear,17316,4623,3,188,3,0
CLM00287,1565,SUP-013,Radiator Hose,Leak,9359,3730,8,326,4,0
CLM00288,1854,SUP-078,Wheel Speed Sensor,Leak,15172,11908,5,314,7,0
CLM00289,1996,SUP-097,Wheel Bearing,Breakage,4542,19398,5,198,9,0
CLM00290,1735,SUP-062,Air Filter,Breakage,16529,18653,17,209,6,0
CLM00291,1224,SUP-093,Air Filter,Breakage,9054,8799,19,266,5,0
CLM00292,1384,SUP-043,V-Belt,Breakage,40682,13678,19,258,9,1
CLM00293,1402,SUP-049,Relay Valve,Misalignment,41281,19370,10,257,8,0
CLM00294,1637,SUP-036,Relay Valve,Misalignment,9269,21182,3,336,8,0
CLM00295,1129,SUP-010,Radiator Hose,Wear,12090,9468,13,346,8,0
CLM00296,1052,SUP-095,V-Belt,Leak,2108,8492,16,233,8,0
CLM00297,1683,SUP-006,V-Belt,Leak,22140,23328,12,204,8,0
CLM00298,1729,SUP-057,Air Filter,Sensor Failure,2224,22905,17,73,7,0
CLM00299,1671,SUP-001,Fuel/Water Separator,Leak,13876,10625,2,13,2,0
CLM00300,1709,SUP-071,V-Belt,Leak,16097,22930,16,71,2,0
CLM00301,1415,SUP-058,Wheel Bearing,Corrosion,9756,9129,11,1,5,0
CLM00302,1246,SUP-091,Wheel Speed Sensor,Corrosion,3859,9726,1,159,6,0
CLM00303,1835,SUP-021,Wheel Speed Sensor,Sensor Failure,25877,17720,12,216,9,0
CLM00304,1438,SUP-092,Wheel Bearing,Breakage,15628,5202,6,195,1,0
CLM00305,1202,SUP-080,Fuel/Water Separator,Sensor Failure,13581,1141,19,312,7,0
CLM00306,1183,SUP-056,Relay Valve,Sensor Failure,9300,3674,5,4,7,0
CLM00307,1122,SUP-087,Air Filter,Wear,3412,18692,3,253,8,0
CLM00308,1400,SUP-020,Wheel Speed Sensor,Misalignment,36415,24537,18,284,1,1
CLM00309,1766,SUP-054,Brake Chamber,Leak,28301,23137,18,300,4,0
CLM00310,1293,SUP-025,U-Joint,Wear,14805,4375,12,30,5,0
CLM00311,1279,SUP-028,Air Filter,Misalignment,4338,9334,18,292,2,0
CLM00312,1836,SUP-005,Fuel/Water Separator,Leak,6804,9394,10,106,2,0
CLM00313,1883,SUP-021,Brake Chamber,Sensor Failure,30309,3348,4,122,4,0
CLM00314,1609,SUP-018,V-Belt,Leak,21197,16577,19,196,3,0
CLM00315,1197,SUP-047,Wheel Bearing,Breakage,13392,27993,4,203,7,0
CLM00316,1981,SUP-070,V-Belt,Breakage,11448,4112,11,260,7,0
CLM00317,1906,SUP-057,Radiator Hose,Sensor Failure,21029,7562,3,267,2,0
CLM00318,1510,SUP-093,Wheel Bearing,Corrosion,28097,10414,15,241,5,0
CLM00319,1751,SUP-019,Brake Chamber,Breakage,37185,25924,16,53,5,1
CLM00320,1143,SUP-097,U-Joint,Sensor Failure,17395,3054,12,124,8,0
CLM00321,1608,SUP-065,Radiator Hose,Wear,23993,23204,18,88,8,0
CLM00322,1200,SUP-003,Relay Valve,Corrosion,20529,1962,6,310,4,0
CLM00323,1123,SUP-042,Radiator Hose,Breakage,18258,22846,15,244,1,0
CLM00324,1186,SUP-021,Wheel Speed Sensor,Sensor Failure,28009,7311,2,340,6,0
